id,first_name,last_name,sum_amount,avg_amount
492,Mina,Jafari,2123642000,193058363.6364
1370,Maryam,Azizi,2037995000,226443888.8889
796,Nima,Moghadam,1974066000,179460545.4545
1061,Pariyan,Rezaei,1931510000,193151000.0000
334,Ali,Najafi,1892524000,157710333.3333
1267,Atousa,Nouri,1816054000,181605400.0000
1341,Ahmad,Karimi,1802609000,150217416.6667
631,Kaveh,Vafaei,1786969000,198552111.1111
1203,Ali,Shirazi,1707470000,189718888.8889
1367,Kaveh,Hashemi,1677792000,186421333.3333
357,Shirin,Tehrani,1654723000,137893583.3333
102,Roxana,Rostami,1605016000,267502666.6667
166,Hamid,Zand,1588982000,158898200.0000
411,Monir,Nasseri,1588596000,158859600.0000
170,Behnam,Sharifi,1524155000,169350555.5556
522,Ahmad,Sadeghi,1509894000,251649000.0000
819,Parisa,Sharifi,1504506000,150450600.0000
812,Pouriya,Ghasemi,1475566000,210795142.8571
133,Pegah,Karimi,1460975000,208710714.2857
530,Hamid,Farhadi,1455359000,111950692.3077
87,Shorah,Moradi,1448284000,120690333.3333
1097,Parisa,Ghanbari,1409615000,117467916.6667
536,Sina,Karimi,1405280000,200754285.7143
407,Yasaman,Moghadam,1403158000,280631600.0000
198,Sara,Zarei,1395484000,155053777.7778
1486,Fatemeh,Shirazi,1385531000,197933000.0000
394,Saman,Bagheri,1376080000,196582857.1429
1076,Taras,Vafaei,1373698000,171712250.0000
777,Mehdi,Ghanbari,1346013000,112167750.0000
828,Maryam,Nasseri,1342064000,167758000.0000
965,Arman,Kashani,1341726000,121975090.9091
580,Monir,Poursaeed,1340251000,191464428.5714
1453,Niloufar,Abedi,1334450000,148272222.2222
447,Saeed,Kashani,1332521000,148057888.8889
92,Kobra,Hosseini,1315628000,119602545.4545
1461,Fatemeh,Anzali,1314446000,187778000.0000
52,Taras,Habibi,1313841000,119440090.9091
1487,Saman,Shirazi,1313713000,164214125.0000
332,Ehsan,Anzali,1310296000,145588444.4444
591,Shirin,Anzali,1301400000,130140000.0000
868,Taras,Najafi,1293460000,215576666.6667
358,Daryoush,Afshar,1284272000,142696888.8889
832,Kobra,Mahdavi,1262844000,105237000.0000
984,Sara,Jafari,1261799000,105149916.6667
511,Zahra,Soleimani,1239751000,123975100.0000
1235,Saeed,Kashani,1229569000,102464083.3333
1403,Bahar,Rezaei,1226975000,102247916.6667
695,Mohammad,Zand,1225888000,111444363.6364
820,Atousa,Nasseri,1220691000,203448500.0000
951,Sanaz,Shahidi,1210409000,93108384.6154
1185,Pouriya,Tavasoli,1208036000,134226222.2222
469,Arash,Pirouz,1197882000,199647000.0000
1161,Sina,Taheri,1186295000,131810555.5556
96,Ehsan,Najafi,1181721000,107429181.8182
269,Pariyan,Gholami,1175197000,130577444.4444
864,Arash,Soleimani,1174925000,167846428.5714
1372,Saeed,Fathi,1161998000,105636181.8182
275,Mina,Nouri,1159796000,128866222.2222
1351,Mohammad,Gholami,1158944000,386314666.6667
151,Sina,Pirouz,1158082000,193013666.6667
826,Hossein,Poursaeed,1145131000,143141375.0000
213,Daryoush,Pirouz,1140694000,114069400.0000
363,Daryoush,Hosseini,1130344000,102758545.4545
971,Mina,Taheri,1129907000,188317833.3333
673,Ladan,Karimi,1125475000,125052777.7778
847,Roxana,Taheri,1124606000,140575750.0000
1364,Sara,Shahidi,1119681000,124409000.0000
899,Reza,Mousavi,1118622000,186437000.0000
1079,Kobra,Shahidi,1108889000,158412714.2857
386,Roxana,Tehrani,1096594000,109659400.0000
486,Pariyan,Rostami,1095921000,99629181.8182
617,Arman,Taheri,1093816000,121535111.1111
1408,Ghazal,Nouri,1093371000,109337100.0000
873,Pegah,Ramsari,1092028000,91002333.3333
194,Mahsa,Khani,1087815000,98892272.7273
624,Pegah,Hosseini,1083736000,108373600.0000
1371,Somayeh,Sultani,1082556000,108255600.0000
1380,Saman,Habibi,1074186000,107418600.0000
13,Khatereh,Sardari,1058131000,105813100.0000
938,Reza,Hosseini,1042667000,86888916.6667
