id,first_name,last_name,city,order_count
1,Pegah,Anzali,Nowshahr,0
1000,Hossein,Nouri,Rasht,1
1001,Mohammad,Pirouz,Nowshahr,0
1006,Saman,Mousavi,Nowshahr,1
1007,Shirin,Mohammadi,Nowshahr,0
1008,Sina,Afshar,Nowshahr,0
1009,Sohrab,Zand,Rasht,0
1014,Hoda,Ghanbari,"Bandar Anzali",1
1015,Kaveh,Ebrahimi,"Bandar Anzali",0
1016,Farhad,Nouri,Nowshahr,0
1017,Taras,Azizi,Rasht,0
1019,Farhad,Sadeghi,Nowshahr,0
1022,Alireza,Zarei,Rasht,1
1024,Niloufar,Ghasemi,Rasht,1
1025,Navid,Habibi,Rasht,0
1026,Sina,Habibi,Rasht,0
1028,Sara,Sardari,Nowshahr,0
1029,Somayeh,Tavasoli,Rasht,1
1030,Daryoush,Hosseini,Nowshahr,1
1031,Sanaz,Vafaei,Rasht,1
1032,Hamid,Khosravi,Rasht,0
1034,Monir,Rezaei,Rasht,0
1036,Bahar,Hashemi,Nowshahr,0
1037,Roxana,Nasseri,Rasht,0
1038,Narges,Moghadam,Rasht,1
1043,Alireza,Ghorbani,"Bandar Anzali",0
1044,Somayeh,Sadeghi,Rasht,0
1048,Pegah,Mahdavi,Nowshahr,0
1049,Ali,Vafaei,Rasht,1
1052,Maryam,Danesh,Nowshahr,0
1054,Sohrab,Taheri,Rasht,0
1055,Hoda,Kashani,Rasht,1
1056,Elnaz,Mirzai,Rasht,1
1057,Sara,Ghorbani,Rasht,0
106,Ahmad,Khani,Nowshahr,1
1060,Atousa,Ahmadi,Rasht,0
1062,Taras,Anzali,Rasht,0
1063,Ladan,Kiani,Rasht,0
1065,Somayeh,Nouri,Rasht,1
1068,Somayeh,Habibi,"Bandar Anzali",0
1069,Kobra,Tavasoli,Rasht,0
1070,Ehsan,Ranjbar,Nowshahr,1
1071,Sahar,Ramsari,Rasht,0
1072,Reza,Rostami,"Bandar Anzali",1
1078,Arash,Sardari,Nowshahr,1
1082,Mohammad,Danesh,Rasht,1
1084,Babak,Anzali,"Bandar Anzali",0
1088,Arezoo,Najafi,Rasht,1
1089,Mahmoud,Mirzai,Rasht,0
109,Babak,Mohammadi,Nowshahr,1
1092,Shirin,Najafi,Nowshahr,1
1093,Zahra,Abbasi,Nowshahr,1
1094,Amir,Danesh,Nowshahr,0
1095,Monir,Sultani,Rasht,0
1098,Khatereh,Eshghi,"Bandar Anzali",1
11,Babak,Ghasemi,Rasht,1
1100,Elnaz,Javadi,"Bandar Anzali",1
1102,Sanaz,Ramsari,Rasht,0
1108,Hossein,Sultani,Nowshahr,1
111,Parisa,Jafari,"Bandar Anzali",1
1110,Mehdi,Fathi,"Bandar Anzali",0
1112,Ahmad,Mousavi,Rasht,0
1113,Kobra,Ebrahimi,Nowshahr,0
1115,Maryam,Gholami,Rasht,0
1118,Bahar,Gilani,Rasht,0
1119,Amir,Rahimi,"Bandar Anzali",0
1120,Ghazal,Hashemi,Rasht,1
1125,Roxana,Karimi,Rasht,1
1127,Ahmad,Ranjbar,Rasht,1
1129,Kaveh,Khosravi,Rasht,0
1130,Fatemeh,Khani,Rasht,1
1131,Narges,Mousavi,"Bandar Anzali",1
1132,Pegah,Ranjbar,Rasht,0
1134,Taras,Ebrahimi,Nowshahr,0
1137,Khatereh,Hosseini,"Bandar Anzali",1
1138,Hamidreza,Ghasemi,Nowshahr,0
1139,Keyvan,Gholami,"Bandar Anzali",0
114,Kobra,Pasha,"Bandar Anzali",1
1142,Elnaz,Sardari,Nowshahr,0
1143,Daryoush,Zand,Rasht,0
1145,Somayeh,Gholami,Nowshahr,1
1146,Zahra,Abedi,Nowshahr,1
1148,Daryoush,Pirouz,Nowshahr,1
1149,Behnam,Sadeghi,"Bandar Anzali",1
1151,Atousa,Kazemi,"Bandar Anzali",0
1157,Niloufar,Sadeghi,Rasht,1
1159,Ramin,Rahimi,Rasht,0
1160,Niloufar,Nasseri,Rasht,1
1163,Daryoush,Farhadi,Rasht,1
1164,Saman,Moradi,Rasht,0
1167,Elnaz,Zand,Rasht,0
1169,Sahar,Mirzai,Rasht,0
117,Kamran,Karimi,Nowshahr,1
1170,Bahar,Tehrani,"Bandar Anzali",1
1172,Farhad,Tehrani,Nowshahr,0
1177,Pouriya,Nasseri,Nowshahr,1
1179,Pouriya,Hashemi,"Bandar Anzali",1
1181,Arash,Mahdavi,Rasht,1
1182,Narges,Rahimi,"Bandar Anzali",1
1183,Pouriya,Habibi,Rasht,0
1186,Sina,Ranjbar,Nowshahr,0
1187,Arman,Habibi,Rasht,0
1189,Keyvan,Vafaei,Rasht,0
1190,Hossein,Abedi,Nowshahr,1
1191,Sanaz,Anzali,Nowshahr,0
1193,Atousa,Hashemi,Nowshahr,1
1194,Mahmoud,Shahidi,Rasht,0
1195,Kamran,Ghorbani,"Bandar Anzali",1
1196,Khatereh,Rostami,Nowshahr,1
1199,Sohrab,Bagheri,"Bandar Anzali",1
12,Sina,Hashemi,Nowshahr,1
1201,Behnam,Gilani,Rasht,0
1206,Pegah,Hosseini,Nowshahr,0
